distance_m,speed_kmh,engine,elevation_m,corner_cap_kmh
0.0,27.25,0,205.37,55.0
1.0,27.23,0,205.37,55.0
2.0,27.19,0,205.37,55.0
3.0,27.17,0,205.37,55.0
4.0,27.13,0,205.37,55.0
5.0,27.09,0,205.38,55.0
6.0,27.04,0,205.38,55.0
7.0,27.01,0,205.39,55.0
8.0,26.97,0,205.39,55.0
9.0,26.93,0,205.39,55.0
10.0,26.87,0,205.40,55.0
11.0,26.83,0,205.40,55.0
12.0,26.78,0,205.41,55.0
13.0,26.74,0,205.42,55.0
14.0,26.70,0,205.42,55.0
15.0,26.67,0,205.42,55.0
16.0,26.63,0,205.42,55.0
17.0,26.59,0,205.43,55.0
18.0,26.54,0,205.43,55.0
19.0,26.50,0,205.44,55.0
20.0,26.47,0,205.44,55.0
21.0,26.43,0,205.44,55.0
22.0,26.39,0,205.45,55.0
23.0,26.34,0,205.45,55.0
24.0,26.30,0,205.46,55.0
25.0,26.26,0,205.46,55.0
26.0,26.22,0,205.46,55.0
27.0,26.18,0,205.47,55.0
28.0,26.14,0,205.47,55.0
29.0,26.09,0,205.48,55.0
30.0,26.04,0,205.48,55.0
31.0,26.00,0,205.49,55.0
32.0,25.96,0,205.49,55.0
33.0,25.92,0,205.50,55.0
34.0,25.88,0,205.50,55.0
35.0,25.84,0,205.50,55.0
36.0,25.80,0,205.51,55.0
37.0,25.77,0,205.51,55.0
38.0,25.74,0,205.51,55.0
39.0,25.71,0,205.51,55.0
40.0,25.69,0,205.51,55.0
41.0,25.65,0,205.52,55.0
42.0,25.62,0,205.52,55.0
43.0,25.60,0,205.52,55.0
44.0,25.56,0,205.52,55.0
45.0,25.53,0,205.52,55.0
46.0,25.50,0,205.52,55.0
47.0,25.46,0,205.53,55.0
48.0,25.43,0,205.53,55.0
49.0,25.37,0,205.54,55.0
50.0,25.34,0,205.54,55.0
51.0,25.31,0,205.54,55.0
52.0,25.23,0,205.55,55.0
53.0,25.19,0,205.56,55.0
54.0,25.16,0,205.56,55.0
55.0,25.13,0,205.56,55.0
56.0,25.09,0,205.56,55.0
57.0,25.05,0,205.57,55.0
58.0,25.03,0,205.57,55.0
59.0,25.00,0,205.57,55.0
60.0,24.97,0,205.57,55.0
61.0,24.97,0,205.57,55.0
62.0,24.94,0,205.57,55.0
63.0,24.90,0,205.57,55.0
64.0,24.86,0,205.57,55.0
65.0,24.83,0,205.58,55.0
66.0,24.80,0,205.58,55.0
67.0,24.77,0,205.58,55.0
68.0,24.74,0,205.58,55.0
69.0,24.71,0,205.58,55.0
70.0,24.68,0,205.59,55.0
71.0,24.64,0,205.59,55.0
72.0,24.62,0,205.59,55.0
73.0,24.59,0,205.59,55.0
74.0,24.55,0,205.59,55.0
75.0,24.51,0,205.60,55.0
76.0,24.47,0,205.60,55.0
77.0,24.44,0,205.60,55.0
78.0,24.40,0,205.61,54.3
79.0,24.37,0,205.61,53.7
80.0,24.34,0,205.61,53.5
81.0,24.30,0,205.61,53.5
82.0,24.27,0,205.62,55.0
83.0,24.23,0,205.62,55.0
84.0,24.20,0,205.62,55.0
